lg_country_code,city_name,zone_name,created_date_local,promised_delivery_time_bucket_min,gross_orders,successful_orders,distance_order_count,surge_multiplier,mean_delay,cvr,healthy_vendor_availability_sessions
no,Oslo,Baerum,2025-07-01,,3,1,4621.0,0,7.8529578556647284,0.076923076923076927,1.0
no,Oslo,Baerum,2025-07-01,18.0,7,5,2279.4,0,8.200798885898724,0.14814814814814814,0.95833333333333337
no,Oslo,Baerum,2025-07-01,19.0,5,5,4417.0,0,8.06757628113414,0.23076923076923078,0.97142857142857142
no,Oslo,Baerum,2025-07-01,20.0,6,5,3881.8,0,5.7316384846197534,0.33333333333333331,1.0
no,Oslo,Baerum,2025-07-01,21.0,1,1,2900.0,0,3.0,0.1111111111111111,0.44444444444444442
no,Oslo,Baerum,2025-07-01,22.0,17,16,3507.0588235294117,0,9.123518778055141,0.18253968253968253,0.926605504587156
no,Oslo,Baerum,2025-07-01,23.0,13,13,3226.3846153846152,0,8.6580632292214119,0.26595744680851063,0.9885057471264368
no,Oslo,Baerum,2025-07-01,24.0,10,10,3725.2,0,8.5815442819453338,0.1875,0.96363636363636362
no,Oslo,Baerum,2025-07-01,25.0,63,62,3743.0952380952381,0,9.37184234156956,0.19117647058823528,0.96280991735537191
no,Oslo,Baerum,2025-07-01,26.0,43,43,3820.8837209302324,0,9.393794536808393,0.20093457943925233,0.90640394088669951
no,Oslo,Baerum,2025-07-01,27.0,37,37,3548.6756756756758,0,10.177679546715815,0.20441988950276244,0.96951219512195119
no,Oslo,Baerum,2025-07-01,28.0,22,22,3672.3636363636365,0,9.1157318198810273,0.13,0.978021978021978
no,Oslo,Baerum,2025-07-01,29.0,41,39,4933.51282051282,0,9.1653346364680885,0.19487179487179487,0.9606741573033708
no,Oslo,Baerum,2025-07-01,30.0,36,36,4202.833333333333,0,11.842467818050212,0.2275132275132275,0.97093023255813948
no,Oslo,Baerum,2025-07-01,31.0,4,4,4227.75,0,11.859930733280638,0.19047619047619047,0.9375
no,Oslo,Baerum,2025-07-01,32.0,3,3,3116.3333333333335,0,15.333202056382447,0.10256410256410256,0.972972972972973
no,Oslo,Baerum,2025-07-01,33.0,8,8,3818.5,0,11.496444176461148,0.16363636363636364,0.81481481481481477
no,Oslo,Baerum,2025-07-01,34.0,25,24,4035.7083333333335,0.007664933,16.729021884033443,0.26829268292682928,0.94666666666666666
no,Oslo,Baerum,2025-07-01,39.0,1,1,6966.0,0,8.1913402048233337,0.0,1.0
